town,price,size,bedrooms,bathrooms
Punggol,555888,91,3,2
Marine Parade,438000,76,2,2
Punggol,580000,90,3,2
Sengkang,628888,115,3,2
Tampines,560000,103,3,2
Bedok,448000,82,3,1
Bedok,448000,82,3,1
Queenstown,1200000,133,4,2
Toa Payoh,808000,93,3,2
Jurong East,760000,120,3,2
Serangoon,800000,115,3,2
Punggol,580000,110,3,2
Yishun,499000,93,3,2
Jurong West,888000,148,4,3
Geylang,330000,60,2,2
Choa Chu Kang,599000,127,2,2
Kallang/Whampoa,909000,90,3,2
Yishun,700000,122,3,2
Bukit Panjang,660000,113,3,2
Queenstown,700000,65,2,2
Yishun,340000,47,1,1
Toa Payoh,438000,82,3,2
Bishan,535000,84,3,2
Marine Parade,950000,126,3,2
Marine Parade,950000,126,3,2
Choa Chu Kang,680000,143,4,2
Choa Chu Kang,408000,68,2,2
Sengkang,750000,113,1,2
Choa Chu Kang,650000,113,3,2
Bukit Panjang,535888,110,3,2
Toa Payoh,808000,93,3,2
Choa Chu Kang,785000,146,4,2
Toa Payoh,808000,93,3,2
Jurong West,500000,132,3,2
Woodlands,580000,92,3,0
Toa Payoh,700000,102,0,0
Sengkang,490000,68,2,2
Punggol,568000,93,3,2
Jurong West,680000,122,3,2
Sengkang,518000,93,3,2
Bukit Batok,838000,112,3,2
Woodlands,410000,67,2,2
Bedok,638000,121,3,2
Bukit Merah,800000,92,3,2
Bukit Merah,800000,92,3,2
Sembawang,535000,110,3,2
Sengkang,500000,95,3,2
Sengkang,820000,139,3,2
Yishun,428000,67,2,2
Jurong West,398000,74,2,2
Bukit Batok,688000,120,4,2
Bedok,659999,118,3,2
Bedok,388000,68,2,2
Hougang,738000,121,3,2
Sengkang,548000,101,3,2
Sengkang,753000,113,2,3
Hougang,750000,92,3,2
Ang Mo Kio,420000,82,2,2
Yishun,555000,92,3,2
Yishun,835000,146,4,3
Ang Mo Kio,720000,123,4,2
Bukit Timah,420000,65,2,2
Geylang,530000,91,3,2
Bedok,470000,84,3,2
Bukit Merah,468000,66,2,2
Woodlands,585000,115,3,2
Punggol,553380,90,3,2
Woodlands,600000,121,3,2
Kallang/Whampoa,410000,65,2,2
Choa Chu Kang,528000,92,3,2
Choa Chu Kang,528000,92,3,2
Bukit Batok,930000,148,4,3
Tampines,555000,105,2,2
Bukit Merah,880000,110,3,2
Tampines,608000,122,3,2
Punggol,568000,110,3,2
Tampines,838000,113,3,2
Bukit Batok,800000,110,3,2
Bukit Batok,930000,148,4,3
Bedok,995000,132,3,2
Tampines,660000,135,3,2
Bukit Batok,580000,108,3,2
Toa Payoh,799000,101,3,2
Toa Payoh,888000,101,3,2
Marine Parade,475000,76,2,2
Pasir Ris,850000,146,4,2
Bishan,850000,115,3,2
Tampines,770000,84,3,2
Jurong West,693000,114,3,0
Toa Payoh,928000,83,2,2
Toa Payoh,688888,112,3,2
Choa Chu Kang,660000,110,3,0
Bishan,850000,115,3,2
Bukit Merah,320000,53,2,2
Hougang,750000,92,3,2
Jurong West,368000,59,2,1
Bukit Batok,550000,100,3,2
Choa Chu Kang,480000,107,3,2
Jurong East,750000,14,4,3
Tampines,500000,107,3,2
Ang Mo Kio,480000,68,2,2
Toa Payoh,920000,145,4,2
Queenstown,385000,59,2,1
Sembawang,620000,110,3,2
Choa Chu Kang,1100000,147,4,2
Woodlands,1108000,163,4,4
Sembawang,620000,111,4,2
Tampines,420000,74,2,2
Tampines,875000,147,4,3
Bedok,388000,65,2,1
Toa Payoh,768000,93,3,2
Bukit Batok,450000,84,3,2
Bukit Batok,499999,104,3,2
Bukit Batok,499999,104,3,2
Jurong West,698000,105,3,2
Pasir Ris,938000,149,4,2
Jurong West,568000,111,3,2
Bedok,900000,143,4,3
Bedok,900000,143,4,3
Punggol,750000,113,3,2
Choa Chu Kang,485000,104,3,2
Choa Chu Kang,570000,103,3,2
Kallang/Whampoa,958000,91,3,2
Ang Mo Kio,799999,110,3,2
Bukit Batok,777000,132,3,2
Toa Payoh,730000,124,3,2
